index,start_time,end_time,result
1,5.972,9.06,miss
2,11.482,15.41417,hit
3,17.021,20.4975,miss
4,22.435,26.1225,hit
5,29.289,32.1225,hit
6,38.227,41.28917,hit
7,46.748,50.16417,miss
8,58.275,61.435,hit
9,65.185,69.35167,miss
10,77.185,80.64333,hit
11,87.289,91.2475,miss
12,98.185,101.935,miss
13,105.138,108.70583,hit
14,112.831,115.935,hit
15,123.578,127.2475,miss
16,131.102,135.01833,miss
17,137.26833,143.03917,miss
18,144.873,148.53917,miss
19,150.414,154.83083,miss
20,157.01833,160.83083,miss
21,164.352,167.51833,hit
22,169.227,172.28917,hit
23,175.643,179.14333,miss
24,185.477,188.35167,hit
25,192.018,194.78917,miss
26,197.581,201.95583,miss
27,205.518,208.7475,hit
28,214.064,216.95583,miss
29,219.852,223.60167,hit
30,225.623,229.35167,miss
31,233.353,237.4975,miss
32,238.97667,242.01833,miss
33,244.637,247.45583,miss
34,252.58,254.935,miss
35,261.164,265.91417,hit
36,270.602,274.76833,hit
37,281.60167,284.8725,miss
38,285.893,290.72667,hit
39,295.14333,298.89333,hit
40,304.456,307.41417,miss
41,311.56,315.10167,hit
42,325.998,329.685,hit
43,331.143,334.70583,hit
44,346.998,350.10167,hit
45,352.602,355.81,hit
46,363.568,367.2475,hit
47,370.539,373.72667,miss
48,380.352,384.01833,miss
49,394.289,397.6225,hit
50,403.831,407.47667,miss
51,414.039,417.9975,hit
52,421.789,424.89333,miss
53,438.248,441.35167,miss
54,438.619,439.619,miss
55,447.331,450.89333,hit
56,459.248,462.185,hit
57,466.164,469.60167,hit
58,478.143,480.89333,miss
59,482.393,485.20583,hit
60,492.81,497.39333,hit
61,503.039,506.9975,miss
62,516.768,519.6225,miss
63,524.393,527.685,miss
64,534.247,537.56,hit
65,547.435,550.72667,hit
66,553.435,557.31,hit
67,567.247,570.51833,miss
68,583.081,586.78917,miss
69,589.435,592.53917,hit
70,598.081,601.56,hit
71,604.914,607.81,miss
72,611.414,614.8725,miss
73,622.539,625.06,hit
74,630.935,634.72667,hit
75,641.893,645.56,hit
76,650.206,653.4975,miss
77,658.997,662.78917,miss
78,680.539,683.89333,miss
79,685.997,689.685,hit
80,697.018,700.53917,hit
81,711.78917,715.01833,hit
82,717.372,720.78917,hit
83,729.685,733.9975,hit
84,739.352,743.10167,hit
85,749.685,752.83083,miss
86,757.706,761.6225,miss
87,772.06,775.33083,miss
88,777.977,780.47667,hit
89,785.31,788.72667,miss
90,790.268,793.7475,miss
91,804.31,807.185,hit
92,809.247,812.16417,miss
93,821.039,824.31,hit
94,833.914,837.03917,hit
95,847.83083,850.2475,miss
96,854.352,856.97667,miss
97,873.227,876.47667,hit
98,885.06,887.97667,miss
99,895.372,899.685,miss
100,908.539,911.33083,miss
101,920.622,923.8725,hit
102,928.26833,931.20583,hit
103,933.018,936.70583,miss
104,950.664,953.28917,miss
105,955.2475,957.91417,hit
106,962.977,966.58083,miss
107,974.747,978.64333,miss
108,979.518,982.9975,miss
109,986.685,989.53917,miss
110,990.789,994.64333,miss
111,1001.039,1004.685,miss
112,1015.206,1019.3725,hit
113,1024.41417,1027.81,hit
114,1031.06,1034.7475,hit
115,1039.977,1043.4975,hit
116,1050.102,1054.03917,miss
117,1058.352,1061.51833,miss
118,1062.581,1066.2475,miss
119,1068.935,1072.16417,miss
120,1075.164,1078.83083,hit
121,1080.622,1083.78917,hit
122,1085.352,1088.58083,hit
123,1090.143,1094.685,miss
124,1099.602,1102.95583,hit
125,1105.727,1111.1225,hit
126,1118.352,1122.26833,hit
127,1131.831,1135.66417,miss
128,1137.331,1140.60167,hit
129,1144.206,1148.26833,miss
130,1153.06,1157.185,hit
131,1160.102,1164.16417,miss
132,1174.768,1178.53917,miss
133,1186.081,1189.56,miss
134,1191.539,1195.1225,hit
135,1198.893,1202.97667,miss
136,1206.01833,1209.3725,miss
137,1218.81,1223.31,hit
138,1227.727,1230.81,hit
139,1236.539,1240.01833,miss
140,1255.685,1258.66417,miss
141,1261.456,1264.685,miss
142,1266.622,1269.7475,hit
143,1270.31,1272.9975,miss
144,1275.352,1278.66417,hit
145,1282.039,1284.91417,hit
146,1287.185,1290.51833,hit
147,1303.372,1307.435,miss
148,1313.51833,1318.6225,hit
149,1323.018,1327.1225,hit
150,1329.122,1333.01833,miss
151,1341.372,1345.26833,hit
152,1347.4975,1350.33083,miss
153,1355.289,1359.20583,hit
154,1371.518,1374.4975,miss
155,1385.852,1389.41417,hit
156,1401.956,1405.8725,hit
157,1410.3725,1413.72667,miss
158,1418.268,1421.83083,miss
159,1426.14333,1430.22667,miss
160,1438.914,1442.72667,miss
161,1446.497,1451.28917,miss
162,1453.143,1456.01833,hit
163,1461.477,1465.06,miss
164,1466.56,1470.435,miss
165,1472.456,1476.66417,miss
166,1479.31,1482.39333,miss
167,1490.06,1494.1225,miss
168,1498.143,1502.47667,miss
169,1510.331,1513.89333,hit
170,1526.331,1528.95583,miss
171,1544.602,1548.66417,hit
172,1552.289,1555.89333,hit
173,1559.393,1562.95583,miss
174,1566.747,1571.35167,hit
175,1576.532,1579.26833,hit
176,1580.977,1584.39333,miss
177,1590.3725,1593.01833,miss
178,1598.018,1601.06,miss
179,1605.56,1608.97667,hit
180,1611.56,1615.66417,miss
181,1617.102,1620.39333,hit
182,1621.977,1625.97667,hit
183,1632.768,1636.435,hit
184,1645.102,1649.10167,hit
185,1655.06,1658.20583,hit
186,1659.852,1663.06,hit
187,1664.997,1668.10167,hit
188,1671.352,1674.91417,miss
189,1677.289,1680.03917,hit
190,1684.018,1687.1225,hit
191,1691.81,1695.39333,miss
192,1700.643,1704.72667,miss
193,1721.227,1724.33083,hit
194,1727.914,1731.03917,hit
195,1734.039,1738.3725,miss
196,1745.122,1748.47667,miss
197,1749.789,1753.26833,miss
198,1755.477,1758.53917,hit
199,1760.393,1764.78917,hit
200,1774.935,1778.14333,miss
201,1785.289,1787.89333,hit
202,1796.247,1799.60167,miss
203,1811.331,1815.1225,hit
204,1817.143,1820.83083,hit
205,1827.727,1831.22667,hit
206,1835.31,1838.91417,hit
207,1843.268,1848.51833,hit
208,1854.102,1857.91417,miss
209,1860.456,1864.01833,miss
210,1867.06,1871.10167,hit
211,1877.122,1881.16417,miss
212,1885.727,1889.06,hit
213,1890.081,1893.72667,miss
214,1902.477,1905.83083,miss
215,1923.497,1927.33083,miss
216,1929.289,1932.35167,hit
217,1936.018,1940.83083,hit
218,1948.268,1952.22667,hit
219,1966.685,1970.01833,hit
220,1972.81,1977.14333,hit
221,1982.331,1986.31,miss
222,1996.602,2000.7475,miss
223,2004.56,2007.95583,hit
224,2011.289,2015.935,miss
225,2024.8725,2028.89333,hit
226,2031.706,2035.39333,hit
227,2042.997,2046.35167,hit
228,2049.581,2053.28917,hit
229,2060.581,2063.97667,hit
230,2068.831,2072.97667,miss
231,2080.039,2084.31,miss
232,2099.289,2102.685,hit
233,2105.081,2108.935,miss
234,2110.768,2114.03917,hit
235,2122.185,2125.58083,miss
236,2128.831,2132.08083,miss
237,2135.039,2137.97667,hit
238,2140.414,2143.2475,hit
239,2146.602,2149.9975,miss
240,2161.747,2166.16417,hit
241,2169.664,2173.2475,miss
242,2174.268,2177.435,miss
243,2185.852,2189.70583,hit
244,2196.456,2200.10167,hit
245,2204.414,2207.14333,hit
246,2214.393,2218.22667,miss
247,2238.977,2242.14333,miss
248,2246.747,2250.2475,hit
