index,start_time,end_time,result
1,3.6225,4.89333,hit
2,17.76833,19.10167,miss
3,33.39333,35.01833,miss
4,46.97667,48.72667,miss
5,61.58083,63.10167,miss
6,75.72667,77.39333,miss
7,88.22667,89.51833,miss
8,99.935,101.228,miss
9,112.3725,114.184,miss
10,124.89333,126.51833,miss
11,140.435,142.4975,miss
12,165.31,167.81,hit
13,178.14333,180.10167,miss
14,193.685,195.534,miss
15,203.35167,205.581,miss
16,214.39333,216.56,miss
17,224.56,226.64333,miss
18,242.64333,244.66417,hit
19,255.91417,257.85167,miss
20,272.96214,274.83714,miss
21,283.01571,284.44429,miss
22,295.40857,297.40857,miss
23,311.08714,313.40857,hit
24,324.73,326.96214,miss
25,336.37286,338.855,miss
26,349.53357,351.51571,miss
27,363.56929,365.71214,miss
28,377.105,379.37286,hit
29,392.53357,394.90857,miss
30,406.26571,408.19429,miss
31,419.262,420.87286,miss
32,435.80143,438.05143,miss
33,475.21214,476.80143,miss
34,489.19429,491.01571,hit
35,502.26571,503.92643,hit
36,514.71214,516.51571,hit
37,527.69429,529.55143,hit
38,539.03357,540.51571,miss
39,552.88059,554.77765,hit
40,563.64529,565.59,miss
41,575.07176,576.76294,miss
42,589.07176,590.86588,hit
43,599.66,601.39529,hit
44,613.11588,615.07176,miss
45,628.01294,629.67471,hit
46,640.24824,641.71882,miss
47,651.26294,653.05706,miss
48,666.26294,668.08647,miss
49,677.23353,678.91,hit
50,689.70412,691.01294,miss
51,701.79235,703.41,miss
52,712.33647,714.64529,miss
