index,start_time,end_time,result
1,6.643,9.45583,miss
2,13.352,16.31,miss
3,19.872,22.20583,miss
4,29.539,32.685,miss
5,35.56,38.28917,miss
6,39.935,42.97667,miss
7,50.539,53.56,hit
8,60.498,64.01833,hit
9,76.602,79.70583,miss
10,82.81,85.4975,hit
11,89.664,92.70583,miss
12,99.352,102.31,hit
13,109.039,112.33083,miss
14,116.31,119.6225,miss
15,124.748,127.58083,miss
16,138.185,141.1225,miss
17,144.727,148.26833,hit
18,152.727,155.91417,miss
19,161.498,164.03917,hit
20,171.435,174.35167,miss
21,181.164,184.22667,miss
22,192.706,195.41417,hit
23,201.143,204.60167,miss
24,210.143,212.83083,miss
25,218.935,222.14333,miss
26,227.185,230.85167,miss
27,239.873,243.14333,miss
28,250.602,253.72667,miss
29,259.123,261.3725,miss
30,270.248,273.56,miss
31,278.581,281.45583,miss
32,285.31,288.26833,miss
33,295.268,297.3725,hit
34,301.393,304.76833,miss
35,307.914,311.33083,miss
36,319.143,322.83083,miss
37,328.06,330.66417,miss
38,338.602,341.56,hit
39,345.102,348.51833,miss
40,357.102,360.16417,miss
41,371.456,374.7475,miss
42,377.581,380.33083,hit
43,384.268,387.28917,hit
44,393.45583,396.2475,miss
45,399.956,402.435,miss
46,411.31,414.28917,hit
47,418.31,421.78917,miss
48,427.873,431.06,miss
49,436.477,438.9975,miss
50,447.727,450.56,hit
51,459.123,461.685,hit
52,466.893,470.2475,miss
53,474.602,477.8725,miss
54,483.977,487.06,miss
55,493.123,496.22667,hit
56,507.102,509.64333,miss
57,518.831,521.78917,hit
58,526.393,528.8725,hit
59,533.206,536.08083,miss
60,546.497,549.35167,hit
61,555.247,558.35167,hit
62,567.122,570.10167,miss
63,572.456,574.89333,hit
64,580.331,583.28917,hit
65,586.331,589.60167,miss
66,596.435,599.91417,miss
67,603.081,606.14333,miss
68,614.622,616.9975,miss
69,629.393,632.20583,hit
70,639.956,642.685,hit
71,653.018,655.76833,miss
72,667.372,670.64333,miss
73,675.852,679.53917,hit
74,687.581,690.64333,miss
75,693.81,696.8725,hit
76,702.747,705.60167,miss
77,710.706,713.6225,miss
78,716.977,720.31,miss
79,722.456,724.76833,hit
80,730.477,732.95583,hit
81,736.081,738.58083,miss
82,752.122,755.26833,miss
83,762.685,765.685,miss
84,773.435,776.39333,miss
85,783.06,786.53917,miss
86,791.456,794.91417,miss
87,800.497,803.83083,miss
88,808.352,811.66417,miss
89,816.06,818.28917,miss
90,831.102,833.91417,hit
91,842.414,844.51833,hit
92,849.81,853.95583,miss
93,858.331,861.10167,hit
94,869.393,872.26833,miss
95,877.497,879.78917,hit
96,884.414,887.185,hit
97,898.393,901.39333,miss
98,909.706,912.185,miss
99,922.352,925.435,miss
100,938.393,941.41417,miss
101,950.018,952.20583,hit
102,955.789,959.10167,miss
103,962.789,965.72667,miss
104,970.227,973.45583,miss
105,981.727,984.685,hit
