index,start_time,end_time,result
1,3.9975,6.22667,miss
2,18.20583,19.89333,hit
3,29.22667,31.16417,miss
4,46.72667,48.6225,miss
5,58.685,60.56,miss
6,70.33083,72.417,miss
7,83.7475,85.76833,miss
8,100.97667,102.737,miss
9,114.16417,116.364,miss
10,125.60167,127.41417,miss
11,138.70583,140.533,miss
12,153.97667,155.81,hit
13,168.01833,170.64333,hit
14,180.60167,182.53917,miss
15,191.4975,193.53917,miss
16,203.70583,205.89333,miss
17,217.2475,219.56,miss
18,229.72667,231.95583,miss
19,248.95583,250.95583,miss
20,259.66417,261.685,miss
21,280.35167,282.70583,miss
22,291.685,293.39333,miss
23,306.14333,308.01833,miss
24,321.01833,323.35167,hit
25,333.8725,335.828,miss
26,344.81,347.22667,miss
27,361.20583,363.01833,miss
28,375.01833,377.129,miss
29,391.83083,394.26833,miss
30,405.22667,407.26833,miss
31,418.51833,420.154,miss
32,430.76833,432.47667,miss
33,451.16417,453.10167,miss
34,468.81,470.91417,hit
35,485.26833,487.14333,miss
36,497.03917,498.97667,hit
37,511.08083,513.14333,miss
38,521.72667,524.072,miss
39,533.28917,535.31,miss
40,545.85167,547.58083,hit
41,557.85167,559.863,miss
42,569.64333,571.8725,miss
43,580.35167,582.435,miss
44,592.31,594.26833,miss
45,607.435,609.435,hit
46,618.83083,620.81,hit
47,629.935,631.47667,hit
48,640.47667,642.435,miss
49,652.185,654.323,miss
50,663.9975,666.01833,miss
51,681.06,683.20583,miss
52,695.22667,697.22667,hit
53,707.1225,709.26833,miss
54,723.66417,725.39333,hit
55,738.3725,740.26833,hit
56,753.72667,755.9975,miss
57,767.66417,769.685,miss
58,780.56,782.41417,hit
59,792.28917,794.20583,hit
