index,start_time,end_time,result
1,13.539,17.91417,miss
2,55.977,60.4975,miss
3,79.331,84.41417,miss
4,101.227,106.435,miss
5,125.81,131.6225,miss
6,144.643,149.89333,miss
7,177.727,184.10167,miss
8,196.9975,203.10167,hit
9,218.81,224.95583,miss
10,234.185,240.2475,miss
11,257.831,263.33083,miss
12,275.164,280.97667,miss
13,303.289,309.45583,miss
14,325.414,331.22667,miss
15,345.393,351.435,miss
16,366.56,371.97667,miss
17,385.248,390.53917,miss
18,403.206,408.06,miss
19,419.748,425.01833,miss
20,438.164,444.33083,miss
21,455.768,462.1225,miss
22,477.748,483.39333,miss
23,500.831,507.83083,miss
24,519.497,525.81,miss
25,541.206,546.89333,miss
26,558.935,564.78917,miss
27,581.459,589.1225,miss
28,602.206,608.4975,miss
29,619.393,624.58083,miss
30,639.081,644.1225,miss
31,655.643,660.20583,miss
32,671.541,675.9975,miss
33,689.039,694.56,miss
34,707.268,713.70583,miss
35,728.331,734.28917,miss
36,747.497,753.35167,miss
37,762.497,769.10167,miss
38,781.518,788.685,miss
39,807.414,814.47667,miss
40,828.31,834.72667,miss
41,852.352,859.53917,miss
42,873.164,879.06,miss
43,890.518,896.28917,miss
44,910.539,916.1225,miss
45,927.164,933.01833,miss
46,946.28917,950.8725,hit
47,963.789,969.39333,miss
48,980.414,986.7475,miss
49,999.164,1005.01833,miss
50,1017.081,1023.20583,miss
51,1031.956,1038.51833,miss
52,1049.893,1057.01833,miss
53,1070.706,1077.51833,miss
54,1089.102,1095.66417,miss
55,1114.289,1120.95583,miss
56,1135.268,1141.64333,miss
57,1153.06,1157.47667,miss
58,1168.977,1174.435,miss
59,1187.143,1192.185,miss
60,1205.143,1210.35167,miss
61,1225.018,1230.20583,miss
62,1236.789,1241.2475,miss
63,1258.497,1263.95583,miss
64,1276.789,1281.95583,miss
65,1292.747,1299.185,miss
66,1311.664,1317.2475,miss
67,1334.06,1340.16417,miss
68,1351.164,1357.01833,miss
69,1372.747,1379.16417,miss
70,1391.872,1398.58083,hit
71,1412.331,1418.3725,miss
72,1431.06,1435.7475,miss
73,1449.522,1455.10167,miss
74,1466.977,1471.81,miss
75,1482.122,1487.33083,miss
76,1498.518,1505.78917,miss
77,1518.518,1523.9975,miss
78,1533.477,1539.8725,miss
79,1549.935,1556.685,miss
80,1569.539,1575.435,miss
81,1587.697,1595.39333,miss
82,1610.518,1616.97667,miss
83,1636.414,1641.72667,miss
84,1647.643,1655.03917,miss
85,1668.31,1673.39333,miss
86,1687.497,1692.51833,miss
87,1704.789,1710.89333,miss
88,1723.518,1729.20583,miss
89,1740.956,1745.6225,miss
90,1752.372,1758.26833,miss
91,1770.477,1775.9975,miss
92,1783.06,1788.28917,miss
93,1797.414,1804.41417,miss
94,1809.831,1816.47667,miss
95,1830.768,1837.64333,miss
96,1847.852,1854.31,miss
97,1872.685,1879.14333,miss
98,1891.685,1898.185,miss
99,1910.03917,1915.4975,hit
100,1929.185,1934.45583,miss
101,1947.435,1953.10167,miss
102,1963.102,1967.8725,miss
103,1973.956,1979.31,miss
104,1991.31,1998.26833,miss
105,2010.81,2016.3725,miss
106,2027.622,2033.08083,miss
107,2044.893,2052.22667,miss
108,2066.227,2074.935,miss
109,2088.81,2095.3725,miss
110,2115.393,2121.95583,miss
111,2136.664,2143.35167,miss
112,2154.06,2159.56,miss
113,2172.456,2178.26833,miss
114,2192.039,2198.06,miss
115,2210.477,2215.45583,miss
116,2226.414,2233.06,miss
117,2245.164,2251.35167,miss
118,2264.893,2271.28917,miss
119,2284.06,2289.435,miss
120,2298.539,2304.76833,miss
121,2316.914,2323.28917,miss
122,2337.747,2344.4975,miss
123,2351.352,2358.26833,miss
124,2374.372,2381.60167,miss
125,2394.31,2401.56,miss
126,2417.164,2422.14333,miss
127,2433.227,2438.83083,miss
128,2468.206,2474.60167,hit
129,2498.776,2504.4975,hit
130,2522.456,2528.51833,miss
131,2567.026,2573.185,hit
132,2584.331,2591.56,miss
133,2607.039,2612.935,miss
134,2625.581,2631.26833,miss
135,2643.31,2648.81,miss
136,2658.039,2663.7475,miss
137,2669.831,2676.56,miss
138,2692.268,2701.3725,miss
139,2707.643,2714.8725,miss
140,2732.831,2739.70583,miss
141,2753.436,2760.33083,hit
142,2772.518,2781.7475,miss
