index,start_time,end_time,result
1,2.706,6.51833,miss
2,14.638,17.685,miss
3,22.852,24.95583,miss
4,29.181,30.4975,miss
5,34.206,37.33083,miss
6,42.956,46.03917,miss
7,51.456,53.47667,hit
8,59.123,60.64333,miss
9,66.647,68.01833,hit
10,74.081,76.935,hit
11,90.06,91.97667,miss
12,98.394,100.31,hit
13,107.539,110.06,hit
14,118.91417,120.81,miss
15,126.774,128.51833,miss
16,134.45583,136.22667,hit
17,140.72,142.89333,miss
18,147.06,148.72667,hit
19,154.6225,156.185,hit
20,161.318,163.26833,miss
21,168.12,170.03917,miss
22,178.086,180.14333,miss
23,185.06,187.03917,hit
24,193.413,195.01833,hit
25,201.06,202.89333,hit
26,208.185,210.31,hit
27,217.279,220.89333,miss
28,228.01833,230.39333,hit
29,235.22667,237.20583,hit
30,246.39333,248.81,hit
31,253.64333,255.685,miss
32,262.138,263.85167,miss
33,268.76833,270.35167,miss
34,291.606,293.8725,miss
35,302.185,303.97667,hit
36,326.06,328.66417,hit
37,332.2475,334.01833,miss
38,339.098,340.72667,miss
39,344.6225,346.26833,miss
40,353.91417,355.56,miss
41,360.47667,362.39333,miss
42,367.935,370.16417,miss
43,375.72667,377.47667,miss
44,382.64333,384.7475,miss
45,392.2475,394.10167,miss
46,409.31,411.76833,hit
47,415.81,417.8725,hit
48,422.3725,424.31,hit
49,427.91417,429.89333,hit
50,433.51833,435.66417,miss
51,439.33083,441.97667,hit
52,450.14333,453.185,hit
53,461.97667,464.16417,hit
54,468.16417,470.16417,miss
55,473.435,475.51833,hit
56,478.39333,480.56,hit
57,491.067,492.26833,miss
58,497.60167,500.03917,hit
59,506.416,508.185,miss
60,512.262,514.31,miss
61,521.39333,523.89333,miss
62,530.824,533.26833,miss
63,545.01833,547.03917,hit
64,553.8725,555.685,miss
65,559.616,561.53917,miss
66,566.26833,568.56,miss
67,572.39333,574.56,miss
68,580.70583,582.9975,hit
69,586.685,588.89333,miss
70,592.56,594.64333,hit
71,598.08083,600.10167,hit
72,614.614,616.14333,miss
73,617.95583,620.45583,hit
74,622.89333,625.14333,hit
75,627.6225,630.435,hit
76,637.81,640.3725,miss
77,644.10167,646.47667,miss
78,649.685,652.185,hit
79,655.66417,657.56,miss
80,660.58083,663.01833,hit
81,665.58083,667.95583,hit
82,674.35167,676.31,hit
83,678.20583,680.10167,hit
84,688.185,689.89333,hit
85,692.685,694.685,miss
86,697.35167,699.41417,hit
87,702.185,704.1225,hit
88,706.89333,708.935,miss
89,710.685,712.56,hit
90,718.20583,720.185,miss
91,723.60167,725.64333,miss
92,729.47667,732.14333,hit
93,736.72667,739.185,miss
94,743.436,744.935,miss
95,746.35167,748.35167,hit
96,755.35167,757.26833,hit
97,759.76833,761.31,miss
98,763.91417,765.95583,miss
99,767.97667,770.26833,hit
100,772.06,774.03917,hit
101,776.47667,778.4975,miss
102,780.879,782.76833,miss
103,786.435,788.70583,hit
104,791.7475,793.3725,miss
105,795.22667,797.28917,miss
106,801.6225,804.47667,miss
107,808.33083,811.06,miss
108,813.14333,815.39333,hit
109,828.97667,830.89333,hit
110,818.33083,820.35167,hit
111,823.31,825.56,hit
112,835.587,837.8725,miss
113,841.10167,842.76833,hit
114,846.004,848.01833,miss
115,852.64333,854.81,miss
116,859.47667,861.935,hit
117,864.909,866.47667,miss
118,868.435,870.47667,hit
119,872.843,874.47667,miss
120,877.655,879.6225,miss
121,883.91417,886.14333,hit
122,892.58083,894.95583,hit
123,901.1225,903.51833,hit
124,906.51833,908.51833,hit
125,917.727,919.06,miss
126,922.89333,925.85167,hit
127,928.435,930.58083,hit
128,931.33083,933.20583,hit
129,934.935,936.9975,miss
130,938.76833,940.76833,hit
131,942.543,944.51833,miss
132,949.58083,951.81,hit
133,953.39333,955.28917,hit
134,956.39333,958.64333,hit
135,960.14333,962.89333,hit
136,965.60167,967.3725,miss
137,968.58083,970.33083,miss
138,972.76833,974.78917,miss
139,977.51833,980.06,miss
140,983.26833,985.20583,hit
141,988.01833,989.91417,hit
142,991.14333,993.03917,miss
143,997.08083,999.22667,hit
144,1001.03917,1003.01833,miss
145,1027.35167,1029.35167,miss
146,1031.76833,1034.01833,miss
147,1035.51833,1037.685,miss
148,1040.216,1041.97667,miss
149,1046.06,1047.8725,hit
150,1050.16417,1051.9975,miss
151,1056.935,1059.76833,miss
152,1063.1225,1065.2475,hit
153,1067.81,1069.8725,hit
154,1072.14333,1074.1225,miss
155,1076.51833,1078.41417,miss
156,1084.935,1087.06,miss
157,1089.22667,1091.60167,hit
